"idGrupo";"uriGrupo";"nomeGrupo";"membro_idlegislatura";"membro_ordem_entrada";"membro_datainicio";"membro_datafim";"membro_nome";"membro_tipo";"membro_uri";"membro_cargo"
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"1";"2023-11-07T00:00:00";"";"ALBUQUERQUE";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220538";""
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"26";"2023-02-02T00:00:00";"";"VINICIUS CARVALHO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/141555";""
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"21";"2023-02-02T00:00:00";"";"ROGÉRIA SANTOS";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220695";""
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"9";"2023-02-02T00:00:00";"";"JEFERSON RODRIGUES";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220567";""
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"2";"2023-02-02T00:00:00";"";"CARLOS GOMES";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/178962";""
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"10";"2023-02-02T00:00:00";"";"JORGE BRAZ";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/205550";""
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"3";"2023-02-02T00:00:00";"";"CELSO RUSSOMANNO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/73441";""
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"11";"2023-02-02T00:00:00";"";"JORGE SOLLA";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/178857";""
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"12";"2023-02-02T00:00:00";"";"JULIO CESAR RIBEIRO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/204372";""
"6";"https://dadosabertos.camara.leg.br/api/v2/grupos/6";"Brasil/Argélia";"57";"0";"2023-08-30T00:00:00";"";"FLÁVIO NOGUEIRA";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/191923";"Presidente"
"6";"https://dadosabertos.camara.leg.br/api/v2/grupos/6";"Brasil/Argélia";"57";"1";"2023-08-30T00:00:00";"";"CAMILA JARA";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220548";"1º Vice-Presidente"
"6";"https://dadosabertos.camara.leg.br/api/v2/grupos/6";"Brasil/Argélia";"57";"2";"2023-08-30T00:00:00";"";"PEDRO CAMPOS";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220667";"2º Vice-Presidente"
"6";"https://dadosabertos.camara.leg.br/api/v2/grupos/6";"Brasil/Argélia";"57";"3";"2023-08-30T00:00:00";"";"DANDARA";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220629";""
"6";"https://dadosabertos.camara.leg.br/api/v2/grupos/6";"Brasil/Argélia";"57";"11";"2023-08-30T00:00:00";"";"ODAIR CUNHA";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/74159";""
"6";"https://dadosabertos.camara.leg.br/api/v2/grupos/6";"Brasil/Argélia";"57";"13";"2023-08-30T00:00:00";"";"SILVIO COSTA FILHO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/204425";""
"6";"https://dadosabertos.camara.leg.br/api/v2/grupos/6";"Brasil/Argélia";"57";"5";"2023-08-30T00:00:00";"";"DELEGADA ADRIANA ACCORSI";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220565";""
"6";"https://dadosabertos.camara.leg.br/api/v2/grupos/6";"Brasil/Argélia";"57";"9";"2023-08-30T00:00:00";"";"MARANGONI";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220648";""
"6";"https://dadosabertos.camara.leg.br/api/v2/grupos/6";"Brasil/Argélia";"57";"7";"2023-08-30T00:00:00";"";"JORGE SOLLA";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/178857";""
"6";"https://dadosabertos.camara.leg.br/api/v2/grupos/6";"Brasil/Argélia";"57";"12";"2023-08-30T00:00:00";"";"SAULLO VIANNA";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220713";""
"6";"https://dadosabertos.camara.leg.br/api/v2/grupos/6";"Brasil/Argélia";"57";"6";"2023-08-30T00:00:00";"";"HELDER SALOMÃO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/178873";""
"6";"https://dadosabertos.camara.leg.br/api/v2/grupos/6";"Brasil/Argélia";"57";"8";"2023-08-30T00:00:00";"";"JULIO ARCOVERDE";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/66385";""
