"id";"uri";"nome";"idLegislatura";"dataStatus";"documentoSgm";"presidente";"presidenteUri";"observacao";"oficioTitulo";"oficioAutorTipo";"oficioAutor";"oficioAutorUri";"oficioDataApresentacao";"oficioDataPublicacao"
"14";"https://dadosabertos.camara.leg.br/api/v2/grupos/14";"Brasil/Bélgica";"57";"2023-02-02T00:00:00";"224/2023";"JULIO CESAR RIBEIRO";"https://dadosabertos.camara.leg.br/api/v2/deputados/204372";"";"";"https://dadosabertos.camara.leg.br/api/v2/deputados/204372";"Julio Cesar Ribeiro";"";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"14";"https://dadosabertos.camara.leg.br/api/v2/grupos/14";"Brasil/Bélgica";"56";"2019-02-04T00:00:00";"260/2019";"ROSANGELA GOMES";"https://dadosabertos.camara.leg.br/api/v2/deputados/178945";"";"7/2019";"https://dadosabertos.camara.leg.br/api/v2/deputados/178945";"ROSANGELA GOMES";"";"2019-02-04T00:00:00";"2019-02-04T00:00:00"
"14";"https://dadosabertos.camara.leg.br/api/v2/grupos/14";"Brasil/Bélgica";"55";"2015-06-12T00:00:00";"3727/2015";"EDINHO BEZ";"https://dadosabertos.camara.leg.br/api/v2/deputados/73793";"";"4/2015";"https://dadosabertos.camara.leg.br/api/v2/deputados/73793";"EDINHO BEZ";"";"2015-06-12T00:00:00";"2015-06-12T00:00:00"
"14";"https://dadosabertos.camara.leg.br/api/v2/grupos/14";"Brasil/Bélgica";"53";"2009-07-14T00:00:00";"2167/2009";"EDINHO BEZ";"https://dadosabertos.camara.leg.br/api/v2/deputados/73793";"";"2/2009";"https://dadosabertos.camara.leg.br/api/v2/deputados/73793";"EDINHO BEZ";"";"2009-07-14T00:00:00";"2009-07-10T00:00:00"
"15";"https://dadosabertos.camara.leg.br/api/v2/grupos/15";"Brasil/Bolívia";"57";"2023-02-02T00:00:00";"231/2023";"ROBERTO DUARTE";"https://dadosabertos.camara.leg.br/api/v2/deputados/220588";"";"";"https://dadosabertos.camara.leg.br/api/v2/deputados/220588";"Roberto Duarte";"";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"15";"https://dadosabertos.camara.leg.br/api/v2/grupos/15";"Brasil/Bolívia";"54";"2011-07-06T00:00:00";"4765/2011";"DELEGADO PROTÓGENES";"https://dadosabertos.camara.leg.br/api/v2/deputados/160606";"";"59/2011";"";"Edilson Holanda Silva - Secretário Substituto da CREDN";"";"2011-07-06T00:00:00";"2011-07-11T00:00:00"
"15";"https://dadosabertos.camara.leg.br/api/v2/grupos/15";"Brasil/Bolívia";"53";"2009-04-15T00:00:00";"1329/2007";"FERNANDO MELO";"https://dadosabertos.camara.leg.br/api/v2/deputados/141432";"";"121/2007";"https://dadosabertos.camara.leg.br/api/v2/deputados/74365";"NILSON MOURÃO";"";"2007-03-21T00:00:00";"2007-03-27T00:00:00"
"15";"https://dadosabertos.camara.leg.br/api/v2/grupos/15";"Brasil/Bolívia";"53";"2007-03-21T00:00:00";"1329/2007";"NILSON MOURÃO";"https://dadosabertos.camara.leg.br/api/v2/deputados/74365";"";"121/2007";"https://dadosabertos.camara.leg.br/api/v2/deputados/74365";"NILSON MOURÃO";"";"2007-03-21T00:00:00";"2007-03-27T00:00:00"
"15";"https://dadosabertos.camara.leg.br/api/v2/grupos/15";"Brasil/Bolívia";"52";"2003-03-10T00:00:00";"";"NILSON MOURAO";"https://dadosabertos.camara.leg.br/api/v2/deputados/74365";"";"319/2003";"https://dadosabertos.camara.leg.br/api/v2/deputados/74365";"NILSON MOURAO";"";"2003-03-10T00:00:00";""
"15";"https://dadosabertos.camara.leg.br/api/v2/grupos/15";"Brasil/Bolívia";"51";"2001-03-15T00:00:00";"";"MARISA SERRANO";"https://dadosabertos.camara.leg.br/api/v2/deputados/73760";"";"75/2001";"https://dadosabertos.camara.leg.br/api/v2/deputados/73760";"MARISA SERRANO";"";"2001-03-15T00:00:00";"2001-03-15T00:00:00"
"16";"https://dadosabertos.camara.leg.br/api/v2/grupos/16";"Brasil/BRICS";"57";"2023-07-06T00:00:00";"276/2023";"ANDRÉ FIGUEIREDO";"https://dadosabertos.camara.leg.br/api/v2/deputados/133439";"";"2/2023";"https://dadosabertos.camara.leg.br/api/v2/deputados/160666";"Félix Mendonça Júnior";"";"2023-02-02T00:00:00";"2023-02-07T00:00:00"
"16";"https://dadosabertos.camara.leg.br/api/v2/grupos/16";"Brasil/BRICS";"57";"2023-02-02T00:00:00";"276/2023";"FÉLIX MENDONÇA JÚNIOR";"https://dadosabertos.camara.leg.br/api/v2/deputados/160666";"";"2/2023";"https://dadosabertos.camara.leg.br/api/v2/deputados/160666";"Félix Mendonça Júnior";"";"2023-02-02T00:00:00";"2023-02-07T00:00:00"
"16";"https://dadosabertos.camara.leg.br/api/v2/grupos/16";"Brasil/BRICS";"56";"2019-02-26T00:00:00";"731/2019";"LUIS MIRANDA";"https://dadosabertos.camara.leg.br/api/v2/deputados/204381";"";"12/2019";"https://dadosabertos.camara.leg.br/api/v2/deputados/204381";"LUIS MIRANDA";"";"2019-02-26T00:00:00";"2019-02-26T00:00:00"
"16";"https://dadosabertos.camara.leg.br/api/v2/grupos/16";"Brasil/BRICS";"55";"2015-04-15T00:00:00";"2596/2015";"ANDRÉ FIGUEIREDO";"https://dadosabertos.camara.leg.br/api/v2/deputados/133439";"";"154/2015";"https://dadosabertos.camara.leg.br/api/v2/deputados/133439";"ANDRÉ FIGUEIREDO";"";"2015-04-15T00:00:00";"2015-04-16T00:00:00"
"17";"https://dadosabertos.camara.leg.br/api/v2/grupos/17";"Brasil/Bulgária";"55";"2015-08-26T00:00:00";"5258/2015";"FLEXA RIBEIRO";"";"";"4/2015";"";"FLEXA RIBEIRO";"";"2015-08-26T00:00:00";"2015-08-26T00:00:00"
"18";"https://dadosabertos.camara.leg.br/api/v2/grupos/18";"Brasil/Cabo Verde";"57";"2023-02-03T00:00:00";"288/2023";"MÁRCIO MARINHO";"https://dadosabertos.camara.leg.br/api/v2/deputados/150418";"";"";"https://dadosabertos.camara.leg.br/api/v2/deputados/150418";"Márcio Marinho";"";"2023-02-03T00:00:00";"2023-02-07T00:00:00"
"18";"https://dadosabertos.camara.leg.br/api/v2/grupos/18";"Brasil/Cabo Verde";"56";"2019-02-04T00:00:00";"275/2019";"MÁRCIO MARINHO";"https://dadosabertos.camara.leg.br/api/v2/deputados/150418";"";"1/2019";"https://dadosabertos.camara.leg.br/api/v2/deputados/150418";"MÁRCIO MARINHO";"";"2019-02-04T00:00:00";"2019-02-04T00:00:00"
