"uriOrgao";"siglaOrgao";"nomeOrgao";"nomePublicacaoOrgao";"uriDeputado";"nomeDeputado";"siglaPartido";"siglaUF";"cargo";"dataInicio";"dataFim"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/220567";"Jeferson Rodrigues";"REPUBLIC";"GO";"Titular";"2024-04-24";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/215043";"Josivaldo Jp";"PSD";"MA";"Suplente";"2023-03-15";"2023-05-16"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/215043";"Josivaldo Jp";"PSD";"MA";"Suplente";"2023-05-17";"2024-02-04"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/215043";"Josivaldo Jp";"PSD";"MA";"Suplente";"2024-03-06";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/220559";"Julia Zanatta";"PL";"SC";"Suplente";"2024-03-06";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/220640";"Juliana Cardoso";"PT";"SP";"Suplente";"2023-03-15";"2023-09-04"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/220640";"Juliana Cardoso";"PT";"SP";"Suplente";"2023-09-05";"2023-09-18"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/220640";"Juliana Cardoso";"PT";"SP";"Suplente";"2023-09-26";"2023-10-09"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/220640";"Juliana Cardoso";"PT";"SP";"Suplente";"2023-10-16";"2023-10-25"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/220640";"Juliana Cardoso";"PT";"SP";"Suplente";"2023-11-22";"2024-02-04"
